Compliance Attribute, Link
updateWbsCode, https://dxcportal.sharepoint.com/sites/labordemandsupplymgmtpsa/PMR/SitePages/Manage-WBS.aspx?xsdata=MDV8MDJ8bmF2ZWVuZ293ZGEua0BkeGMuY29tfDYxNzdhNjJjODU0YzQ5YTEzNWRlMDhkZTg0M2FmZWNhfDkzZjMzNTcxNTUwZjQzY2ZiMDlmY2QzMzEzMzhkMDg2fDB8MHw2MzkwOTM1ODYwNzI5ODc0Mzh8VW5rbm93bnxUV0ZwYkdac2IzZDhleUpGYlhCMGVVMWhjR2tpT25SeWRXVXNJbFlpT2lJd0xqQXVNREF3TUNJc0lsQWlPaUpYYVc0ek1pSXNJa0ZPSWpvaVRXRnBiQ0lzSWxkVUlqb3lmUT09fDB8fHw%3D&sdata=VkV3WjNvMThweXp0U0dtY3ZwN1pwNEhZbXRFKzFmZlhiVlRaWjJHNGhXYz0%3D&clickparams=eyAiWC1BcHBOYW1lIiA6ICJNaWNyb3NvZnQgT3V0bG9vayIsICJYLUFwcFZlcnNpb24iIDogIjE2LjAuMTkxMjcuMjA1MzIiLCAiT1MiIDogIldpbmRvd3MiIH0%3D
reviewScheduleStatus, https://dxcportal.sharepoint.com/:x:/s/labordemandsupplymgmtpsa/PMR/EXgB-yqBQMRCpATiY5BS3KQBlzdkx8YmbVPUykBUlOMGgQ?e=Mb7gRQ&clickparams=eyAiWC1BcHBOYW1lIiA6ICJNaWNyb3NvZnQgT3V0bG9vayIsICJYLUFwcFZlcnNpb24iIDogIjE2LjAuMTg1MjYuMjA2MzQiLCAiT1MiIDogIldpbmRvd3MiIH0%3D&CID=791517A3-357C-41AB-B406-ECB7FB8D770A&wdLOR=c62CE7207-CE51-4DA3-AF3A-DAE81D7F7203
reviewFinancialStatus, https://dxcportal.sharepoint.com/:x:/s/labordemandsupplymgmtpsa/PMR/EXgB-yqBQMRCpATiY5BS3KQBlzdkx8YmbVPUykBUlOMGgQ?e=Mb7gRQ&clickparams=eyAiWC1BcHBOYW1lIiA6ICJNaWNyb3NvZnQgT3V0bG9vayIsICJYLUFwcFZlcnNpb24iIDogIjE2LjAuMTg1MjYuMjA2MzQiLCAiT1MiIDogIldpbmRvd3MiIH0%3D&CID=2E339CD8-E902-4968-8161-97A1B2FFB046&wdLOR=cAE87F73D-7FAF-4723-AC23-48C04CC99BB6
reviewOverallStatus, https://dxcportal.sharepoint.com/:x:/s/labordemandsupplymgmtpsa/PMR/EXgB-yqBQMRCpATiY5BS3KQBlzdkx8YmbVPUykBUlOMGgQ?e=Mb7gRQ&clickparams=eyAiWC1BcHBOYW1lIiA6ICJNaWNyb3NvZnQgT3V0bG9vayIsICJYLUFwcFZlcnNpb24iIDogIjE2LjAuMTg1MjYuMjA2MzQiLCAiT1MiIDogIldpbmRvd3MiIH0%3D&CID=F42E6F31-CBB5-42B2-869B-74217D872FCB&wdLOR=c24190ADC-725B-4FA7-BC62-A24CE12D02FD
addActiveIssue, https://dxcportal.sharepoint.com/sites/labordemandsupplymgmtpsa/PMR/SitePages/Risks-and-Issues.aspx?xsdata=MDV8MDJ8aGFpZHVjLnZ1MkBkeGMuY29tfDlhZDM0MjBkNGQwNjQwNGYxZTc0MDhkZGU1ODkwOTRmfDkzZjMzNTcxNTUwZjQzY2ZiMDlmY2QzMzEzMzhkMDg2fDB8MHw2Mzg5MTkwOTg5Mjg1NjQ0OTl8VW5rbm93bnxUV0ZwYkdac2IzZDhleUpGYlhCMGVVMWhjR2tpT25SeWRXVXNJbFlpT2lJd0xqQXVNREF3TUNJc0lsQWlPaUpYYVc0ek1pSXNJa0ZPSWpvaVRXRnBiQ0lzSWxkVUlqb3lmUT09fDB8fHw%3d&sdata=T1B1MDVXWUhGcUxKOEZlNVhPcVFRdUJYdFlQbThXSXVpV0p6SVk2WldvTT0%3d&clickparams=eyAiWC1BcHBOYW1lIiA6ICJNaWNyb3NvZnQgT3V0bG9vayIsICJYLUFwcFZlcnNpb24iIDogIjE2LjAuMTg1MjYuMjA1NDYiLCAiT1MiIDogIldpbmRvd3MiIH0%3D
updateProjectStatus, https://dxcportal.sharepoint.com/sites/labordemandsupplymgmtpsa/PMR/SitePages/Status-Reporting.aspx?xsdata=MDV8MDJ8bmF2ZWVuZ293ZGEua0BkeGMuY29tfGI2NjA2NGQxZTIxYzQ4ZTZlMTkzMDhkZGU5NzRiMTFlfDkzZjMzNTcxNTUwZjQzY2ZiMDlmY2QzMzEzMzhkMDg2fDB8MHw2Mzg5MjM0MDk1NzM1ODA0OTZ8VW5rbm93bnxUV0ZwYkdac2IzZDhleUpGYlhCMGVVMWhjR2tpT25SeWRXVXNJbFlpT2lJd0xqQXVNREF3TUNJc0lsQWlPaUpYYVc0ek1pSXNJa0ZPSWpvaVRXRnBiQ0lzSWxkVUlqb3lmUT09fDB8fHw%3d&sdata=ZElrTVlBTXpzQmxqbEhYZWpad1gwZUpiSmVjbm5KcDJsWDA3dEc5SzdjVT0%3d&clickparams=eyAiWC1BcHBOYW1lIiA6ICJNaWNyb3NvZnQgT3V0bG9vayIsICJYLUFwcFZlcnNpb24iIDogIjE2LjAuMTg1MjYuMjA1NDYiLCAiT1MiIDogIldpbmRvd3MiIH0%3D
updateOpenMilestones, https://dxcportal.sharepoint.com/sites/labordemandsupplymgmtpsa/PMR/SitePages/Milestones.aspx?xsdata=MDV8MDJ8bmF2ZWVuZ293ZGEua0BkeGMuY29tfDQ1OTA5MGJmN2I5YjRjMjY1NzJlMDhkZGNhZjIxZTMzfDkzZjMzNTcxNTUwZjQzY2ZiMDlmY2QzMzEzMzhkMDg2fDB8MHw2Mzg4ODk4NjM0MjI0OTE0ODV8VW5rbm93bnxUV0ZwYkdac2IzZDhleUpGYlhCMGVVMWhjR2tpT25SeWRXVXNJbFlpT2lJd0xqQXVNREF3TUNJc0lsQWlPaUpYYVc0ek1pSXNJa0ZPSWpvaVRXRnBiQ0lzSWxkVUlqb3lmUT09fDB8fHw%3d&sdata=aTU0NVdKc3lvRXhFVXdVSW5JY05CeG9lUTViUEd2aHFoUGNQM2pvaldXaz0%3d
updateProjectStage,
updateProjectManager,
updateMilestones, https://dxcportal.sharepoint.com/sites/labordemandsupplymgmtpsa/PMR/SitePages/Milestones.aspx?xsdata=MDV8MDJ8bmF2ZWVuZ293ZGEua0BkeGMuY29tfDQ1OTA5MGJmN2I5YjRjMjY1NzJlMDhkZGNhZjIxZTMzfDkzZjMzNTcxNTUwZjQzY2ZiMDlmY2QzMzEzMzhkMDg2fDB8MHw2Mzg4ODk4NjM0MjI0OTE0ODV8VW5rbm93bnxUV0ZwYkdac2IzZDhleUpGYlhCMGVVMWhjR2tpT25SeWRXVXNJbFlpT2lJd0xqQXVNREF3TUNJc0lsQWlPaUpYYVc0ek1pSXNJa0ZPSWpvaVRXRnBiQ0lzSWxkVUlqb3lmUT09fDB8fHw%3d&sdata=aTU0NVdKc3lvRXhFVXdVSW5JY05CeG9lUTViUEd2aHFoUGNQM2pvaldXaz0%3d
